Danske navn;Latinske navn;Engelske navn
Sortklire;Tringa erythropus;Spotted Redshank
Stor Gulben;Tringa melanoleuca;Greater Yellowlegs
Hvidklire;Tringa nebularia;Common Greenshank
Lille Gulben;Tringa flavipes;Lesser Yellowlegs
Damklire;Tringa stagnatilis;Marsh Sandpiper
Tinksmed;Tringa glareola;Wood Sandpiper
Rødben;Tringa totanus;Common Redshank
Willet;Catoptrophorus semipalmatus;Willet
Stenvender;Arenaria interpres;Ruddy Turnstone
Amerikansk Svømmesneppe;Phalaropus tricolor;Wilson’s Phalarope
Odinshane;Phalaropus lobatus;Red-necked Phalarope
Thorshane;Phalaropus fulicarius;Red Phalarope
Mellemkjove;Stercorarius pomarinus;Pomarine Jaeger
Almindelig Kjove;Stercorarius parasiticus;Parasitic Jaeger
Lille Kjove;Stercorarius longicaudus;Long-tailed Jaeger
Storkjove;Stercorarius skua;Great Skua
Sydpolarkjove;Stercorarius maccormicki;South Polar Skua
Ismåge;Pagophila eburnea;Ivory Gull
Sabinemåge;Larus sabini;Sabine’s Gull
Ride;Rissa tridactyla;Black-legged Kittiwake
Tyndnæbbet Måge;Chroicocephalus genei;Slender-billed Gull
Bonapartemåge;Chroicocephalus philadelphia;Bonaparte’s Gull
Hættemåge;Chroicocephalus ridibundus;Common Black-headed Gull
Brunhovedet Måge;Chroicocephalus brunnicephalus;Brown-headed Gull
Gråhovedet Måge;Chroicocephalus cirrocephalus;Grey-hooded Gull
Dværgmåge;Hydrocoloeus minutus;Little Gull
Rosenmåge;Rhodostethia rosea;Ross’s Gull
Lattermåge;Larus atricilla;Laughing Gull
Præriemåge;Larus pipixcan;Franklin’s Gull
Sorthovedet Måge;Larus melanocephalus;Mediterranean Gull
Reliktmåge;Larus relictus;Relict Gull
Audouinsmåge;Larus audouinii;Audouin’s Gull
Rødehavsmåge;Larus leucophthalmus;White-eyed Gull
Sodfarvet Måge;Larus hemprichii;Sooty Gull
Stor Sorthovedet Måge;Larus ichthyaetus;Great Black-headed Gull
Stormmåge;Larus canus;Mew Gull
Ringnæbbet Måge;Larus delawarensis;Ring-billed Gull
Skifermåge;Larus schistisagus;Slaty-backed Gull
Sildemåge;Larus fuscus;Lesser Black-backed Gull
Sølvmåge;Larus argentatus;Herring Gull
Middelhavssølvmåge;Larus michahellis;Yellow-legged Gull
Kaspisk Måge;Larus cachinnans;Caspian Gull
Armensk Måge;Larus armenicus;Armenian Gull
Amerikansk Sølvmåge;Larus smithsonianus;American Herring Gull
Hvidvinget Måge;Larus glaucoides;Iceland Gull
Inuitmåge;Larus thayeri;Thayer’s Gull
Gråmåge;Larus hyperboreus;Glaucous Gull
Svartbag;Larus marinus;Great Black-backed Gull
Tangmåge;Larus dominicanus;Kelp Gull
Gråvinget Måge;Larus glaucescens;Glaucous-winged Gull
Beringsterne;Onychoprion aleuticus;Aleutian Tern
Sodfarvet Terne;Onychoprion fuscatus;Sooty Tern
Brilleterne;Onychoprion anaethetus;Bridled Tern
Dværgterne;Sternula albifrons;Little Tern
Persisk Dværgterne;Sternula saundersi;Saunders’s Tern
Amerikansk Dværgterne;Sternula antillarum;Least Tern
Sandterne;Gelochelidon nilotica;Gull-billed Tern
Rovterne;Hydroprogne caspia;Caspian Tern
Hvidskægget Terne;Chlidonias hybrida;Whiskered Tern
Sortterne;Chlidonias niger;Black Tern
Hvidvinget Terne;Chlidonias leucopterus;White-winged Tern
Amerikansk Splitterne;Sterna acuflavida;Cabot’s Tern
Splitterne;Sterna sandvicensis;Sandwich Tern
Kongeterne;Sterna maxima;Royal Tern
Bergiusterne;Thalasseus bergii;Swift Tern
Bengalterne;Sterna bengalensis;Lesser Crested Tern
Aztekerterne;Sterna elegans;Elegant Tern
Prærieterne;Sterna forsteri;Forster’s Tern
Fjordterne;Sterna hirundo;Common Tern
Rosenterne;Sterna dougallii;Roseate Tern
Havterne;Sterna paradisaea;Arctic Tern
Hvidkindet Terne;Sterna repressa;White-cheeked Tern
Brun Noddy;Anous stolidus;Brown Noddy
Afrikansk Saksnæb;Rynchops flavirostris;African Skimmer
Lomvie;Uria aalge;Common Murre
Polarlomvie;Uria lomvia;Thick-billed Murre
Alk;Alca torda;Razorbill
Gejrfugl;Pinguinus impennis;Great Auk
Tejst;Cepphus grylle;Black Guillemot
Langnæbbet Dværgalk;Brachyramphus perdix;Long-billed Murrelet
Hvidbrynet Dværgalk;Synthliboramphus antiquus;Ancient Murrelet
Søkonge;Alle alle;Little Auk
Toppet Dværgalk;Aethia cristatella;Crested Auklet
Papegøjealk;Cyclorrhynchus psittacula;Parakeet Auklet
Lunde;Fratercula arctica;Atlantic Puffin
Toplunde;Lunda cirrhata;Tufted Puffin
Lichtensteins Sandhøne;Pterocles lichtensteinii;Lichtenstein’s Sandgrouse
Kronet Sandhøne;Pterocles coronatus;Crowned Sandgrouse
Plettet Sandhøne;Pterocles senegallus;Spotted Sandgrouse
Brunbuget Sandhøne;Pterocles exustus;Chestnut-bellied Sandgrouse
Sortbuget Sandhøne;Pterocles orientalis;Black-bellied Sandgrouse
Spidshalet Sandhøne;Pterocles alchata;Pin-tailed Sandgrouse
Steppehøne;Syrrhaptes paradoxus;Pallas’s Sandgrouse
Klippedue;Columba livia;Common Pigeon
Huldue;Columba oenas;Stock Dove
Turkestandue;Columba eversmanni;Yellow-eyed Pigeon
Ringdue;Columba palumbus;Common Wood Pigeon
Madeiradue;Columba trocaz;Trocaz Pigeon
Laurbærdue;Columba bollii;Bolle’s Pigeon
Hvidhalet Laurbærdue;Columba junoniae;Laurel Pigeon
Skoggerdue;Streptopelia risoria;African Collared Dove
Tyrkerdue;Streptopelia decaocto;Eurasian Collared Dove
Guløjet Skoggerdue;Streptopelia decipiens;African Mourning Dove
Turteldue;Streptopelia turtur;European Turtle Dove
Østlig Turteldue;Streptopelia orientalis;Oriental Turtle Dove
Palmedue;Streptopelia senegalensis;Laughing Dove
Namaquadue;Oena capensis;Namaqua Dove
Sørgedue;Zenaida macroura;Mourning Dove
Gulbuget Papegøjedue;Treron waalia;Bruce’s Green Pigeon
Rødhovedet Dværgpapegøje;Agapornis fischeri;Fischer’s Lovebird
Nandayparakit;Nandayus nenday;Nanday Parakeet
Munkeparakit;Myiopsitta monachus;Monk Parakeet
Alexanderparakit;Psittacula krameri;Rose-ringed Parakeet
Jacobinergøg;Clamator jacobinus;Jacobin Cuckoo
Skadegøg;Clamator glandarius;Great Spotted Cuckoo
Guldgøg;Chrysococcyx caprius;Diderik Cuckoo
Gøg;Cuculus canorus;Common Cuckoo
Skovgøg;Cuculus saturatus;Oriental Cuckoo
Sortnæbbet Gøg;Coccyzus erythrophthalmus;Black-billed Cuckoo
Gulnæbbet Gøg;Coccyzus americanus;Yellow-billed Cuckoo
Sporegøg;Centropus senegalensis;Senegal Coucal
